t,x,y,theta,rho,ex_w,ey_w,vx,vy,w,reached
1.840,0.4984,-0.9506,-0.0000,1.6558,-0.7984,1.4506,-0.1768,0.1768,0.0000,0
1.861,0.4984,-0.9506,-0.0000,1.6558,-0.7984,1.4506,-0.1768,0.1768,0.0000,0
1.881,0.4984,-0.9506,-0.0000,1.6558,-0.7984,1.4506,-0.1768,0.1768,0.0000,0
1.901,0.4984,-0.9506,-0.0000,1.6558,-0.7984,1.4506,-0.1768,0.1768,0.0000,0
1.920,0.4984,-0.9506,-0.0000,1.6558,-0.7984,1.4506,-0.1768,0.1768,0.0000,0
1.940,0.4984,-0.9506,-0.0000,1.6558,-0.7984,1.4506,-0.1768,0.1768,0.0000,0
1.960,0.4984,-0.9506,-0.0000,1.6558,-0.7984,1.4506,-0.1768,0.1768,0.0000,0
1.980,0.4984,-0.9506,-0.0000,1.6558,-0.7984,1.4506,-0.1768,0.1768,0.0000,0
2.000,0.4984,-0.9506,-0.0000,1.6558,-0.7984,1.4506,-0.1768,0.1768,0.0000,0
2.021,0.4984,-0.9506,-0.0000,1.6558,-0.7984,1.4506,-0.1768,0.1768,0.0000,0
2.040,0.4984,-0.9506,-0.0000,1.6558,-0.7984,1.4506,-0.1768,0.1768,0.0000,0
2.061,0.4984,-0.9506,-0.0000,1.6558,-0.7984,1.4506,-0.1768,0.1768,0.0000,0
2.082,0.4984,-0.9506,-0.0000,1.6558,-0.7984,1.4506,-0.1768,0.1768,0.0000,0
2.101,0.4984,-0.9506,-0.0000,1.6558,-0.7984,1.4506,-0.1768,0.1768,0.0000,0
2.120,0.4984,-0.9506,-0.0000,1.6558,-0.7984,1.4506,-0.1768,0.1768,0.0000,0
2.140,0.4984,-0.9506,-0.0000,1.6558,-0.7984,1.4506,-0.1768,0.1768,0.0000,0
2.161,0.4984,-0.9506,-0.0000,1.6558,-0.7984,1.4506,-0.1768,0.1768,0.0000,0
2.180,0.4984,-0.9506,-0.0000,1.6558,-0.7984,1.4506,-0.1768,0.1768,0.0000,0
2.201,0.4984,-0.9506,-0.0000,1.6558,-0.7984,1.4506,-0.1768,0.1768,0.0000,0
2.221,0.4984,-0.9506,-0.0000,1.6558,-0.7984,1.4506,-0.1768,0.1768,0.0000,0
2.240,0.4984,-0.9506,-0.0000,1.6558,-0.7984,1.4506,-0.1768,0.1768,0.0000,0
2.262,0.4984,-0.9506,-0.0000,1.6558,-0.7984,1.4506,-0.1768,0.1768,0.0000,0
2.282,0.4984,-0.9506,-0.0000,1.6558,-0.7984,1.4506,-0.1768,0.1768,0.0000,0
2.301,0.4984,-0.9506,-0.0000,1.6558,-0.7984,1.4506,-0.1768,0.1768,0.0000,0
2.320,0.4984,-0.9506,-0.0000,1.6558,-0.7984,1.4506,-0.1768,0.1768,0.0000,0
