t,x,y,theta,rho,vx,vy,w,wp_idx,ideal_x,ideal_y,reached
0.138,-0.5000,-1.0000,-0.0000,1.3928,0.1400,0.0538,0.0000,0,0.8000,-0.5000,0
0.158,-0.5000,-1.0000,-0.0000,1.3928,0.1400,0.0538,0.0000,0,0.8000,-0.5000,0
0.179,-0.5000,-1.0000,-0.0000,1.3928,0.1400,0.0538,0.0000,0,0.8000,-0.5000,0
0.198,-0.5000,-1.0000,-0.0000,1.3928,0.1400,0.0538,0.0000,0,0.8000,-0.5000,0
0.218,-0.5000,-1.0000,-0.0000,1.3928,0.1400,0.0538,0.0000,0,0.8000,-0.5000,0
0.238,-0.5000,-1.0000,-0.0000,1.3928,0.1400,0.0538,0.0000,0,0.8000,-0.5000,0
0.261,-0.5000,-1.0000,-0.0000,1.3928,0.1400,0.0538,0.0000,0,0.8000,-0.5000,0
0.278,-0.5000,-1.0000,-0.0000,1.3928,0.1400,0.0538,0.0000,0,0.8000,-0.5000,0
0.298,-0.5000,-1.0000,-0.0000,1.3928,0.1400,0.0538,0.0000,0,0.8000,-0.5000,0
0.318,-0.5000,-1.0000,-0.0000,1.3928,0.1400,0.0538,0.0000,0,0.8000,-0.5000,0
0.338,-0.5000,-1.0000,-0.0000,1.3928,0.1400,0.0538,0.0000,0,0.8000,-0.5000,0
0.359,-0.5000,-1.0000,-0.0000,1.3928,0.1400,0.0538,0.0000,0,0.8000,-0.5000,0
0.378,-0.5000,-1.0000,-0.0000,1.3928,0.1400,0.0538,0.0000,0,0.8000,-0.5000,0
0.398,-0.5000,-1.0000,-0.0000,1.3928,0.1400,0.0538,0.0000,0,0.8000,-0.5000,0
0.419,-0.5000,-1.0000,-0.0000,1.3928,0.1400,0.0538,0.0000,0,0.8000,-0.5000,0
0.438,-0.5000,-1.0000,-0.0000,1.3928,0.1400,0.0538,0.0000,0,0.8000,-0.5000,0
0.458,-0.5000,-1.0000,-0.0000,1.3928,0.1400,0.0538,0.0000,0,0.8000,-0.5000,0
0.478,-0.5000,-1.0000,-0.0000,1.3928,0.1400,0.0538,0.0000,0,0.8000,-0.5000,0
0.498,-0.5000,-1.0000,-0.0000,1.3928,0.1400,0.0538,0.0000,0,0.8000,-0.5000,0
0.520,-0.5000,-1.0000,-0.0000,1.3928,0.1400,0.0538,0.0000,0,0.8000,-0.5000,0
0.539,-0.5000,-1.0000,-0.0000,1.3928,0.1400,0.0538,0.0000,0,0.8000,-0.5000,0
0.558,-0.4990,-0.9996,-0.0000,1.3918,0.1400,0.0538,0.0000,0,0.8000,-0.5000,0
0.578,-0.4990,-0.9996,-0.0000,1.3918,0.1400,0.0538,0.0000,0,0.8000,-0.5000,0
0.598,-0.4990,-0.9996,-0.0000,1.3918,0.1400,0.0538,0.0000,0,0.8000,-0.5000,0
0.619,-0.4990,-0.9996,-0.0000,1.3918,0.1400,0.0538,0.0000,0,0.8000,-0.5000,0
0.638,-0.4979,-0.9992,-0.0000,1.3906,0.1400,0.0538,0.0000,0,0.8000,-0.5000,0
0.658,-0.4969,-0.9988,-0.0000,1.3895,0.1400,0.0538,0.0000,0,0.8000,-0.5000,0
0.678,-0.4969,-0.9988,-0.0000,1.3895,0.1400,0.0538,0.0000,0,0.8000,-0.5000,0
0.698,-0.4969,-0.9988,-0.0000,1.3895,0.1400,0.0538,0.0000,0,0.8000,-0.5000,0
0.718,-0.4948,-0.9980,-0.0000,1.3873,0.1400,0.0538,0.0000,0,0.8000,-0.5000,0
0.738,-0.4948,-0.9980,-0.0000,1.3873,0.1400,0.0538,0.0000,0,0.8000,-0.5000,0
0.759,-0.4948,-0.9980,-0.0000,1.3873,0.1400,0.0538,0.0000,0,0.8000,-0.5000,0
0.779,-0.4948,-0.9980,-0.0000,1.3873,0.1400,0.0538,0.0000,0,0.8000,-0.5000,0
0.798,-0.4928,-0.9972,-0.0000,1.3851,0.1400,0.0538,0.0000,0,0.8000,-0.5000,0
0.818,-0.4928,-0.9972,-0.0000,1.3851,0.1400,0.0538,0.0000,0,0.8000,-0.5000,0
0.839,-0.4928,-0.9972,-0.0000,1.3851,0.1400,0.0538,0.0000,0,0.8000,-0.5000,0
0.859,-0.4928,-0.9972,-0.0000,1.3851,0.1400,0.0538,0.0000,0,0.8000,-0.5000,0
0.878,-0.4928,-0.9972,-0.0000,1.3851,0.1400,0.0538,0.0000,0,0.8000,-0.5000,0
0.898,-0.4907,-0.9964,-0.0000,1.3829,0.1400,0.0538,0.0000,0,0.8000,-0.5000,0
