t,x,y,theta,rho,vx,vy,w,wp_idx,ideal_x,ideal_y,reached
0.044,-0.5000,-1.0000,-0.0000,1.5000,0.2500,0.0000,0.0000,1,1.0000,-1.0000,0
0.065,-0.5000,-1.0000,-0.0000,1.5000,0.2500,0.0000,0.0000,1,1.0000,-1.0000,0
0.084,-0.5000,-1.0000,-0.0000,1.5000,0.2500,0.0000,0.0000,1,1.0000,-1.0000,0
0.103,-0.4982,-1.0000,-0.0000,1.4982,0.2500,0.0000,0.0000,1,1.0000,-1.0000,0
0.123,-0.4963,-1.0000,-0.0000,1.4963,0.2500,0.0000,0.0000,1,1.0000,-1.0000,0
0.143,-0.4963,-1.0000,-0.0000,1.4963,0.2500,0.0000,0.0000,1,1.0000,-1.0000,0
0.165,-0.4963,-1.0000,-0.0000,1.4963,0.2500,0.0000,0.0000,1,1.0000,-1.0000,0
0.183,-0.4945,-1.0000,-0.0000,1.4945,0.2500,0.0000,0.0000,1,1.0000,-1.0000,0
0.203,-0.4945,-1.0000,-0.0000,1.4945,0.2500,0.0000,0.0000,1,1.0000,-1.0000,0
0.224,-0.4945,-1.0000,-0.0000,1.4945,0.2500,0.0000,0.0000,1,1.0000,-1.0000,0
0.244,-0.4945,-1.0000,-0.0000,1.4945,0.2500,0.0000,0.0000,1,1.0000,-1.0000,0
0.263,-0.4945,-1.0000,-0.0000,1.4945,0.2500,0.0000,0.0000,1,1.0000,-1.0000,0
0.283,-0.4945,-1.0000,-0.0000,1.4945,0.2500,0.0000,0.0000,1,1.0000,-1.0000,0
0.303,-0.4945,-1.0000,-0.0000,1.4945,0.2500,0.0000,0.0000,1,1.0000,-1.0000,0
0.323,-0.4945,-1.0000,-0.0000,1.4945,0.2500,0.0000,0.0000,1,1.0000,-1.0000,0
0.343,-0.4945,-1.0000,-0.0000,1.4945,0.2500,0.0000,0.0000,1,1.0000,-1.0000,0
0.364,-0.4945,-1.0000,-0.0000,1.4945,0.2500,0.0000,0.0000,1,1.0000,-1.0000,0
0.384,-0.4945,-1.0000,-0.0000,1.4945,0.2500,0.0000,0.0000,1,1.0000,-1.0000,0
0.403,-0.4945,-1.0000,-0.0000,1.4945,0.2500,0.0000,0.0000,1,1.0000,-1.0000,0
0.423,-0.4945,-1.0000,-0.0000,1.4945,0.2500,0.0000,0.0000,1,1.0000,-1.0000,0
0.443,-0.4945,-1.0000,-0.0000,1.4945,0.2500,0.0000,0.0000,1,1.0000,-1.0000,0
0.463,-0.4908,-1.0000,-0.0000,1.4908,0.2500,0.0000,0.0000,1,1.0000,-1.0000,0
0.484,-0.4889,-1.0000,-0.0000,1.4889,0.2500,0.0000,0.0000,1,1.0000,-1.0000,0
0.503,-0.4889,-1.0000,-0.0000,1.4889,0.2500,0.0000,0.0000,1,1.0000,-1.0000,0
0.523,-0.4889,-1.0000,-0.0000,1.4889,0.2500,0.0000,0.0000,1,1.0000,-1.0000,0
0.543,-0.4889,-1.0000,-0.0000,1.4889,0.2500,0.0000,0.0000,1,1.0000,-1.0000,0
