t,x,y,theta,rho,vx,vy,w,wp_idx,ideal_x,ideal_y,reached
1.823,-0.5000,-1.0000,-0.0000,0.5000,0.2000,0.0000,0.0000,0,0.0000,-1.0000,0
1.843,-0.4985,-1.0000,-0.0000,0.4985,0.2000,0.0000,0.0000,0,0.0000,-1.0000,0
1.864,-0.4911,-1.0000,-0.0000,0.4911,0.2000,0.0000,0.0000,0,0.0000,-1.0000,0
1.883,-0.4911,-1.0000,-0.0000,0.4911,0.2000,0.0000,0.0000,0,0.0000,-1.0000,0
1.903,-0.4897,-1.0000,-0.0000,0.4897,0.2000,0.0000,0.0000,0,0.0000,-1.0000,0
1.923,-0.4838,-1.0000,-0.0000,0.4838,0.2000,0.0000,0.0000,0,0.0000,-1.0000,0
1.943,-0.4838,-1.0000,-0.0000,0.4838,0.2000,0.0000,0.0000,0,0.0000,-1.0000,0
1.963,-0.4838,-1.0000,-0.0000,0.4838,0.2000,0.0000,0.0000,0,0.0000,-1.0000,0
1.983,-0.4749,-1.0000,-0.0000,0.4749,0.2000,0.0000,0.0000,0,0.0000,-1.0000,0
2.004,-0.4690,-1.0000,-0.0000,0.4690,0.2000,0.0000,0.0000,0,0.0000,-1.0000,0
2.023,-0.4690,-1.0000,-0.0000,0.4690,0.2000,0.0000,0.0000,0,0.0000,-1.0000,0
2.043,-0.4690,-1.0000,-0.0000,0.4690,0.2000,0.0000,0.0000,0,0.0000,-1.0000,0
2.063,-0.4675,-1.0000,-0.0000,0.4675,0.2000,0.0000,0.0000,0,0.0000,-1.0000,0
2.084,-0.4675,-1.0000,-0.0000,0.4675,0.2000,0.0000,0.0000,0,0.0000,-1.0000,0
2.103,-0.4675,-1.0000,-0.0000,0.4675,0.2000,0.0000,0.0000,0,0.0000,-1.0000,0
2.123,-0.4675,-1.0000,-0.0000,0.4675,0.2000,0.0000,0.0000,0,0.0000,-1.0000,0
2.143,-0.4631,-1.0000,-0.0000,0.4631,0.2000,0.0000,0.0000,0,0.0000,-1.0000,0
2.163,-0.4631,-1.0000,-0.0000,0.4631,0.2000,0.0000,0.0000,0,0.0000,-1.0000,0
2.183,-0.4513,-1.0000,-0.0000,0.4513,0.2000,0.0000,0.0000,0,0.0000,-1.0000,0
2.203,-0.4513,-1.0000,-0.0000,0.4513,0.2000,0.0000,0.0000,0,0.0000,-1.0000,0
2.223,-0.4513,-1.0000,-0.0000,0.4513,0.2000,0.0000,0.0000,0,0.0000,-1.0000,0
